PositionsID,Typ,Wert,LKW_KENNZ
16053897222,4,0.0,OD-TS-8046
16053897222,1,0.0,OD-TS-8046
16053897222,5,0.0,OD-TS-8046
16053897222,2,461200.844,OD-TS-8046
16053897222,4,0.0,OD-TS-8046
16053922721,4,0.0,PLO-TS-856
16053922721,1,0.0,PLO-TS-856
16053922721,5,0.0,PLO-TS-856
16053922721,2,339687.563,PLO-TS-856
16053922721,4,0.0,PLO-TS-856
16053924051,4,0.0,PLO-TS-859
16053924051,1,0.0,PLO-TS-859
16053924051,5,0.0,PLO-TS-859
16053924051,2,502579.625,PLO-TS-859
16053924051,4,0.0,PLO-TS-859
16055857312,4,0.0,OD-TS-8048
16055857312,1,0.0,OD-TS-8048
16055857312,5,0.0,OD-TS-8048
16055857312,2,194994.125,OD-TS-8048
16055857312,4,0.0,OD-TS-8048
16055857342,4,0.0,OD-TS-8048
16055857342,1,0.0,OD-TS-8048
16055857342,5,0.0,OD-TS-8048
16055857342,2,194994.125,OD-TS-8048
16055857342,4,0.0,OD-TS-8048
16055857343,4,0.0,OD-TS-8048
16055857343,1,0.0,OD-TS-8048
16055857343,5,0.0,OD-TS-8048
16055857343,2,194994.125,OD-TS-8048
16055857343,4,0.0,OD-TS-8048
16055857344,4,0.0,OD-TS-8048
16055857344,1,0.0,OD-TS-8048
16055857344,5,0.0,OD-TS-8048
16055857344,2,194994.125,OD-TS-8048
16055857344,4,0.0,OD-TS-8048
16055857345,4,0.0,OD-TS-8048
16055857345,1,0.0,OD-TS-8048
16055857345,5,0.0,OD-TS-8048
16055857345,2,194994.125,OD-TS-8048
16055857345,4,0.0,OD-TS-8048
16055857346,4,0.0,OD-TS-8048
16055857346,1,0.0,OD-TS-8048
16055857346,5,0.0,OD-TS-8048
16055857346,2,194994.125,OD-TS-8048
16055857346,4,0.0,OD-TS-8048
16055857347,4,0.0,OD-TS-8048
16055857347,1,0.0,OD-TS-8048
16055857347,5,0.0,OD-TS-8048
16055857347,2,194994.125,OD-TS-8048
16055857347,4,0.0,OD-TS-8048
16055857348,4,0.0,OD-TS-8048
16055857348,1,0.0,OD-TS-8048
16055857348,5,0.0,OD-TS-8048
16055857348,2,194994.125,OD-TS-8048
16055857348,4,0.0,OD-TS-8048
16055857349,4,0.0,OD-TS-8048
16055857349,1,0.0,OD-TS-8048
16055857349,5,0.0,OD-TS-8048
16055857349,2,194994.125,OD-TS-8048
16055857349,4,0.0,OD-TS-8048
16055857350,4,0.0,OD-TS-8048
16055857350,1,0.0,OD-TS-8048
16055857350,5,0.0,OD-TS-8048
16055857350,2,194994.125,OD-TS-8048
16055857350,4,0.0,OD-TS-8048
16055857352,4,0.0,OD-TS-8048
16055857352,1,0.0,OD-TS-8048
16055857352,5,0.0,OD-TS-8048
16055857352,2,194994.125,OD-TS-8048
16055857352,4,0.0,OD-TS-8048
16055857843,4,0.0,OD-TS-8041
16055857843,1,0.0,OD-TS-8041
16055857843,5,0.0,OD-TS-8041
16055857843,2,314612.2,OD-TS-8041
16055857843,4,0.0,OD-TS-8041
16055857881,4,0.0,OD-TS-8041
16055857881,1,0.0,OD-TS-8041
16055857881,5,0.0,OD-TS-8041
16055857881,2,314612.2,OD-TS-8041
16055857881,4,0.0,OD-TS-8041
16055857885,4,0.0,OD-TS-8041
16055857885,1,0.0,OD-TS-8041
16055857885,5,0.0,OD-TS-8041
16055857885,2,314612.2,OD-TS-8041
16055857885,4,0.0,OD-TS-8041
16055857887,4,0.0,OD-TS-8041
16055857887,1,0.0,OD-TS-8041
16055857887,5,0.0,OD-TS-8041
16055857887,2,314612.2,OD-TS-8041
16055857887,4,0.0,OD-TS-8041
16055857888,4,0.0,OD-TS-8041
16055857888,1,0.0,OD-TS-8041
16055857888,5,0.0,OD-TS-8041
16055857888,2,314612.2,OD-TS-8041
16055857888,4,0.0,OD-TS-8041
16055857889,4,0.0,OD-TS-8041
16055857889,1,0.0,OD-TS-8041
16055857889,5,0.0,OD-TS-8041
16055857889,2,314612.2,OD-TS-8041
16055857889,4,0.0,OD-TS-8041
16055857891,4,0.0,OD-TS-8041
16055857891,1,0.0,OD-TS-8041
16055857891,5,0.0,OD-TS-8041
16055857891,2,314612.2,OD-TS-8041
16055857891,4,0.0,OD-TS-8041
